,County,County Precinct,aapi_mail_turnout_share,aapi_adv_turnout_share,aapi_mail_support_share,aapi_adv_support_share,black_mail_turnout_share,black_adv_turnout_share,black_mail_support_share,black_adv_support_share,hispanic_mail_turnout_share,hispanic_adv_turnout_share,hispanic_mail_support_share,hispanic_adv_support_share,native_american_mail_turnout_share,native_american_adv_turnout_share,native_american_mail_support_share,native_american_adv_support_share,other_mail_turnout_share,other_adv_turnout_share,other_mail_support_share,other_adv_support_share,white_mail_turnout_share,white_adv_turnout_share,white_mail_support_share,white_adv_support_share
1059,Elbert,315,0.012787430465531338,0.006745486699366931,0.62,0.62,0.12210366122781595,0.10723353632868421,0.89,0.89,0.011942723627417355,0.012121381933637512,0.62,0.62,0.001077830805926666,0.001022523877826433,0.62,0.62,0.05779134193745586,0.058487150387634794,0.5,0.5,0.794297011935853,0.8143899207728501,0.38369079658474037,0.03467797265746269
1060,Emanuel,1208,,,,,0.01025292760716413,0.008802729111945082,0.89,0.89,0.0011065589809160985,0.0010979708879666117,0.62,0.62,,,,,0.0662805577032132,0.0655769693158007,0.5,0.5,0.9223599557087067,0.9245223306842875,0.0,0.02548473797204574
1061,Emanuel,1333,,,,,0.19718153904026928,0.17398045446904267,0.89,0.89,0.0018916483499982807,0.0019289520243897262,0.62,0.62,,,,,0.07122076416630115,0.07241634130300163,0.5,0.5,0.7297060484434313,0.751674252203566,0.5085041576931776,0.04087707873301125
1062,Emanuel,1429,0.002245964867348366,0.0011857914061352147,0.62,0.62,0.16285633421833282,0.14314689488563018,0.89,0.89,0.0017359463512677184,0.0017634387821667758,0.62,0.62,0.001135851395438175,0.0010784989261116763,0.62,0.62,0.07427109902294131,0.07523031294482097,0.5,0.5,0.7577548041446717,0.777595063055135,0.6793085275051887,0.20737533708425787
1063,Emanuel,1502,0.002829702655256628,0.0014949689177425765,0.62,0.62,0.1646534505804085,0.14482186444001924,0.89,0.89,0.008748510844454624,0.008892917098373839,0.62,0.62,0.0014310649985558367,0.0013597015158093094,0.62,0.62,0.07485963085866802,0.07587640048167449,0.5,0.5,0.7474776400626564,0.7675541475463806,0.5075622493295535,0.0607983906622726
1064,Emanuel,1560,,,,,0.3175637619656329,0.2853277879968387,0.89,0.89,0.0025294046884495433,0.0026265051827162626,0.62,0.62,0.0009930126617928633,0.0009638042605048061,0.62,0.62,0.07921600772612802,0.08202038884176023,0.5,0.5,0.5996978129579966,0.62906151371818,0.43435544365737966,0.10917174146897259
1065,Emanuel,1748,0.0013846523458013685,0.0007241716235206098,0.62,0.62,0.10288108024818604,0.08957941251326614,0.89,0.89,0.003210667569755013,0.0032308355059421866,0.62,0.62,0.0007002599738045146,0.0006586473086637196,0.62,0.62,0.057693672219841036,0.05788907606556129,0.5,0.5,0.834129667642612,0.8479178569830461,0.29339178914593383,0.01588516973412836
1066,Emanuel,50,,,,,0.03956940674495724,0.03413465691769533,0.89,0.89,0.01464196677613787,0.014597625969233193,0.62,0.62,0.003193473957781072,0.0029759135182932193,0.62,0.62,0.07830562876604717,0.0778439249651394,0.5,0.5,0.8642895237550767,0.8704478786296388,0.19041355452732694,0.06583116552438217
1067,Emanuel,52,,,,,0.6245576921592827,0.5882230975852899,0.89,0.89,,,,,,,,,0.0733393516068253,0.07959803000045314,0.5,0.5,0.302102956233892,0.332178872414257,0.10749308308550283,0.6874281111134611
1068,Emanuel,53,0.006699876679326499,0.003669863354149454,0.62,0.62,0.39249951462070803,0.3579267406858426,0.89,0.89,0.0052988834927529885,0.005584524542319179,0.62,0.62,0.0011031763593120042,0.0010867280884914849,0.62,0.62,0.0790388485798195,0.0830598930742487,0.5,0.5,0.515359700268081,0.5486722502549485,0.2523671020601136,0.014363095144620665
1069,Emanuel,57,,,,,0.21544221406866468,0.19060913163075827,0.89,0.89,0.00249126945542103,0.002547301867365238,0.62,0.62,0.0010867124955737679,0.001038600396837538,0.62,0.62,0.06537336235795517,0.06665142867371161,0.5,0.5,0.7156064416223853,0.7391535374313273,0.9933552273211643,0.1676550498415356
1070,Emanuel,58,0.0017466026233184124,0.0009452343160403125,0.62,0.62,0.32990829928125026,0.29724225659427683,0.89,0.89,0.005399921423782337,0.005622786073557706,0.62,0.62,,,,,0.08432645740951006,0.08755418417573713,0.5,0.5,0.5786187192621388,0.608635538840388,0.5641957230638762,0.034402296446410074
1071,Evans,11,0.005873550087721831,0.003160556475994112,0.62,0.62,0.2772379395970313,0.24836333219164208,0.89,0.89,0.01341296197217733,0.013886932359741097,0.62,0.62,0.00180026023971937,0.0017421719994988362,0.62,0.62,0.0755733462474248,0.07801878970566575,0.5,0.5,0.6261019418559253,0.6548282172674581,0.3296044972575854,0.017208860363893665
1072,Fannin,COLW,0.0029548952744435173,0.0015242339744049086,0.62,0.62,0.0026452015652710346,0.0022716438952864494,0.89,0.89,0.0026645398756638787,0.002644542290150936,0.62,0.62,0.001992504851489734,0.00184842482529194,0.62,0.62,0.04690295690113135,0.04641704028643996,0.5,0.5,0.9428399015320005,0.9452941147284258,0.5533428257308379,0.2210855395024079
1073,Fannin,FAIR,0.0061555803007564,0.0031802234475114886,0.62,0.62,0.00157440925596437,0.0013541856436925163,0.89,0.89,0.003058558670689784,0.003040354315784124,0.62,0.62,0.0031130604828207287,0.0028924712687158813,0.62,0.62,0.052343210660257,0.05188199532700195,0.5,0.5,0.9337551806295118,0.9376507699972939,0.46497419332094286,0.20060689450760877
1074,Fannin,FLIN,0.003127707579632538,0.0016135490601569622,0.62,0.62,0.002799901931181695,0.0024047547383148965,0.89,0.89,0.006849472942468383,0.006798794820782386,0.62,0.62,0.0017575277484898025,0.0016306136884184968,0.62,0.62,0.045049149073037545,0.04458721046438847,0.5,0.5,0.94041624072519,0.942965077227939,0.3048368354817841,0.12920117713962226
1075,Fannin,HEMP,0.0023330988742207,0.0012029634452636205,0.62,0.62,0.0006961912601322158,0.0005976126615234734,0.89,0.89,0.0057104303068051775,0.005665090736966952,0.62,0.62,0.0015732235474116606,0.0014588229454812745,0.62,0.62,0.05812155439042011,0.057494219785784784,0.5,0.5,0.9315655016210102,0.93358129042498,0.4875160613705847,0.23163173734436268
1076,Fannin,HOTH,0.003437345143503222,0.0017726905995506179,0.62,0.62,,,,,0.002324687260619273,0.002306710454194654,0.62,0.62,0.0008691839606690473,0.0008061472270973765,0.62,0.62,0.04717241715347178,0.046672988322771884,0.5,0.5,0.9461963664817367,0.9484414633963855,0.2877863907780598,0.19792362543337175
1077,Fannin,MINE,0.003431400305854894,0.0017706738339065137,0.62,0.62,0.002047843689221385,0.0017592838863677237,0.89,0.89,0.0026521905695347653,0.0026332413046031345,0.62,0.62,0.004627630505860708,0.004294560450754268,0.62,0.62,0.04841467183791613,0.04793048839991009,0.5,0.5,0.9388262630916121,0.9416117521244581,0.3350474528989476,0.1897350752006898
1078,Fannin,MOBI,0.0028376778495117915,0.0014631878879075284,0.62,0.62,,,,,0.0036554864686055306,0.003626610680685219,0.62,0.62,0.0023918304867767315,0.002217993481882172,0.62,0.62,0.04691913386987264,0.04641460636956373,0.5,0.5,0.9441958713252333,0.9462776015799613,0.41061226248377786,0.16855086502186178
1079,Fannin,MORG,0.0062564180797175795,0.0032348548131053067,0.62,0.62,0.007000877087164975,0.006026337091060473,0.89,0.89,0.00282082339709508,0.002806232671429337,0.62,0.62,0.0018457000065326163,0.0017162597041431122,0.62,0.62,0.05620552493772585,0.055753959763188546,0.5,0.5,0.925870656491764,0.9304623559570733,0.4009905321238651,0.1799692496254738
1080,Fannin,NOON,0.0026034369952806138,0.0013427634470955536,0.62,0.62,0.0011652892869947354,0.0010005945408083734,0.89,0.89,0.006036728826549063,0.00599063492693479,0.62,0.62,0.0006583178541693063,0.0006106339311542597,0.62,0.62,0.07145655198825576,0.07070696116109931,0.5,0.5,0.9180796750487507,0.9203484119929078,0.5303257817371418,0.20697696592604758
1081,Fannin,SKEN,0.00344000256478522,0.001774750780546917,0.62,0.62,,,,,0.0013294197045345517,0.0013196521491488688,0.62,0.62,0.0017397118585097337,0.0016141682264118637,0.62,0.62,0.07280406559305812,0.07206127131166487,0.5,0.5,0.9206868002791123,0.9232301575322274,0.4086394750058619,0.22859960596555107
1082,Fannin,SUGC,0.004101712086349572,0.002116814637960133,0.62,0.62,0.0016319217544514713,0.0014021320816510541,0.89,0.89,0.004403175714121971,0.004372224190813218,0.62,0.62,0.0018438738595690112,0.0017113613758563567,0.62,0.62,0.05154252152556612,0.05103298792491728,0.5,0.5,0.9364767950599417,0.939364479788802,0.2652616487757305,0.19580721677890406
1083,Fannin,TOCC,0.0056071497305067,0.0028973423877224976,0.62,0.62,0.004461761056380852,0.0038382734515365635,0.89,0.89,0.004333866151333303,0.004308756080783176,0.62,0.62,0.002048007572242186,0.0019031897313660263,0.62,0.62,0.05830462030216346,0.057800063573782465,0.5,0.5,0.9252445951873735,0.9292523747748093,0.32977500425289846,0.22098588042723605
1084,Fayette,1,0.03407181914883624,0.019422024955082395,0.62,0.62,0.5509458057549315,0.5228534813434755,0.89,0.89,0.012333981579710631,0.013527614849165088,0.62,0.62,0.0030536188205805663,0.0031304507143447456,0.62,0.62,0.1160939338065756,0.12696277065815315,0.5,0.5,0.28350084088936545,0.3141036574797791,0.6592709639821243,0.7249591283567277
1085,Fayette,10,0.033289186549470155,0.01864765287474835,0.62,0.62,0.4423540177036993,0.4125370002673112,0.89,0.89,0.02235391008991868,0.02409313096980685,0.62,0.62,0.002029792058719026,0.002044868587010916,0.62,0.62,0.11960786201997564,0.12854299031149205,0.5,0.5,0.38036523157821733,0.4141343569896306,0.8888350029641799,0.46358941484008737
1086,Fayette,11,0.04407607940652045,0.023554683745261092,0.62,0.62,0.09617545701566181,0.08556782959996424,0.89,0.89,0.0290103404813862,0.029829494592598354,0.62,0.62,0.0024380330030296022,0.002343185990452887,0.62,0.62,0.12343523871610455,0.12655553964380942,0.5,0.5,0.7048648513772974,0.732149266427914,0.6340033883914881,0.34962404141115105
1087,Fayette,12,0.01947536718063707,0.01016669742548127,0.62,0.62,0.022415415906327094,0.019481077874123814,0.89,0.89,0.019712077337513942,0.01979909715959821,0.62,0.62,0.002345065197377744,0.00220161830092721,0.62,0.62,0.10733745552670163,0.1075011767073878,0.5,0.5,0.8287146188514424,0.8408503325324816,0.7318728730020051,0.32807462116401526
1088,Fayette,13,0.019731246994165147,0.010378219217391328,0.62,0.62,0.0744174010934121,0.0651650514864261,0.89,0.89,0.00987540998070331,0.009994065462185711,0.62,0.62,0.0016358491605872555,0.00154740652363666,0.62,0.62,0.10503960447808358,0.10599589899613622,0.5,0.5,0.7893004882930487,0.8069193583142239,0.3358722911837663,0.17620948958404975
