county_code,county_precinct_id,race,registered_voters
20,10,other,722
20,10,white,1372
20,11,aapi,61
20,11,black,707
20,11,hispanic,185
20,11,native_american,28
20,11,other,952
20,11,white,2397
20,12,aapi,17
20,12,black,251
20,12,hispanic,41
20,12,native_american,11
20,12,other,432
20,12,white,1792
20,13,aapi,35
20,13,black,406
20,13,hispanic,152
20,13,native_american,15
20,13,other,701
20,13,white,2110
20,14,aapi,40
20,14,black,186
20,14,hispanic,53
20,14,native_american,16
20,14,other,600
20,14,white,2756
20,2,aapi,8
20,2,black,281
20,2,hispanic,16
20,2,native_american,8
20,2,other,174
20,2,white,1243
20,3,aapi,10
20,3,black,573
20,3,hispanic,15
20,3,native_american,16
20,3,other,333
20,3,white,1202
20,4,aapi,1
20,4,black,39
20,4,hispanic,4
20,4,native_american,1
20,4,other,152
20,4,white,626
20,5,aapi,10
20,5,black,132
20,5,hispanic,29
20,5,native_american,9
20,5,other,402
20,5,white,1544
20,6,aapi,29
20,6,black,388
20,6,hispanic,98
20,6,native_american,23
20,6,other,621
20,6,white,2158
20,7,aapi,34
20,7,black,923
20,7,hispanic,71
20,7,native_american,15
20,7,other,587
20,7,white,1305
20,8,aapi,36
20,8,black,483
20,8,hispanic,76
20,8,native_american,20
20,8,other,506
20,8,white,1523
20,9,aapi,200
20,9,black,1300
20,9,hispanic,290
20,9,native_american,59
20,9,other,1691
20,9,white,4943
21,CAND,aapi,27
21,CAND,black,1479
21,CAND,hispanic,200
21,CAND,native_american,16
21,CAND,other,744
21,CAND,white,4505
22,1006,aapi,7
22,1006,black,15
22,1006,hispanic,6
22,1006,native_american,2
22,1006,other,100
22,1006,white,1159
22,1111,aapi,12
22,1111,black,516
22,1111,hispanic,41
22,1111,native_american,17
22,1111,other,349
22,1111,white,2564
22,1122,aapi,23
22,1122,black,734
22,1122,hispanic,110
22,1122,native_american,27
22,1122,other,511
22,1122,white,3288
22,1152,aapi,5
22,1152,black,30
22,1152,hispanic,27
22,1152,native_american,8
22,1152,other,180
22,1152,white,1753
22,1240,aapi,21
22,1240,black,147
22,1240,hispanic,45
22,1240,native_american,9
22,1240,other,301
22,1240,white,2401
22,1371,aapi,4
22,1371,black,101
22,1371,hispanic,34
22,1371,native_american,9
22,1371,other,145
22,1371,white,1405
22,1483,aapi,14
22,1483,black,326
22,1483,hispanic,68
22,1483,native_american,11
22,1483,other,364
22,1483,white,3116
22,1496,aapi,8
22,1496,black,242
22,1496,hispanic,21
22,1496,native_american,7
22,1496,other,170
22,1496,white,1238
22,1533,aapi,4
22,1533,black,128
22,1533,hispanic,21
22,1533,native_american,3
22,1533,other,195
22,1533,white,1666
22,1540,aapi,26
22,1540,black,408
22,1540,hispanic,79
22,1540,native_american,24
22,1540,other,466
22,1540,white,3112
22,1542,aapi,12
22,1542,black,198
22,1542,hispanic,56
22,1542,native_american,15
22,1542,other,281
22,1542,white,2035
22,501,aapi,16
22,501,black,1151
22,501,hispanic,156
22,501,native_american,21
22,501,other,613
22,501,white,3040
22,640,aapi,16
22,640,black,341
22,640,hispanic,73
22,640,native_american,17
22,640,other,321
22,640,white,2341
22,641,aapi,24
22,641,black,955
22,641,hispanic,177
22,641,native_american,30
22,641,other,704
22,641,white,4026
22,642,aapi,67
22,642,black,2691
22,642,hispanic,272
22,642,native_american,54
22,642,other,1074
22,642,white,3595
22,649,aapi,25
22,649,black,401
22,649,hispanic,64
22,649,native_american,29
22,649,other,466
22,649,white,3513
22,650,aapi,36
22,650,black,866
22,650,hispanic,135
22,650,native_american,19
22,650,other,532
22,650,white,2700
22,682,aapi,2
22,682,black,101
22,682,hispanic,15
22,682,native_american,6
22,682,other,249
22,682,white,1973
22,713,aapi,16
22,713,black,171
22,713,hispanic,30
22,713,native_american,13
22,713,other,303
22,713,white,2948
22,714A1,aapi,45
22,714A1,black,1920
22,714A1,hispanic,238
22,714A1,native_american,28
22,714A1,other,611
22,714A1,white,1986
22,714A2,aapi,27
22,714A2,black,444
22,714A2,hispanic,36
22,714A2,native_american,12
22,714A2,other,209
22,714A2,white,1097
22,714A3,aapi,68
22,714A3,black,964
22,714A3,hispanic,139
22,714A3,native_american,22
22,714A3,other,453
22,714A3,white,2338
22,714A4,aapi,23
22,714A4,black,650
22,714A4,hispanic,56
22,714A4,native_american,18
22,714A4,other,206
22,714A4,white,1283
22,714A5,aapi,21
22,714A5,black,457
22,714A5,hispanic,99
22,714A5,native_american,13
22,714A5,other,341
22,714A5,white,1896
22,714A6,aapi,23
22,714A6,black,293
22,714A6,hispanic,35
22,714A6,native_american,8
22,714A6,other,167
22,714A6,white,1259
22,714BN,aapi,5
22,714BN,black,311
22,714BN,hispanic,38
22,714BN,native_american,11
22,714BN,other,159
22,714BN,white,1036
22,714BW,aapi,10
22,714BW,black,208
22,714BW,hispanic,38
22,714BW,native_american,9
22,714BW,other,218
22,714BW,white,1919
22,715,aapi,11
22,715,black,182
22,715,hispanic,47
22,715,native_american,4
22,715,other,175
22,715,white,1329
23,BLCK,aapi,10
23,BLCK,black,27
23,BLCK,hispanic,34
23,BLCK,native_american,8
23,BLCK,other,219
23,BLCK,white,1886
23,BOYN,aapi,97
23,BOYN,black,115
23,BOYN,hispanic,64
23,BOYN,native_american,20
23,BOYN,other,675
23,BOYN,white,5553
23,CAKT,aapi,15
23,CAKT,black,28
23,CAKT,hispanic,51
23,CAKT,native_american,8
23,CAKT,other,304
23,CAKT,white,2483
23,CHAM,aapi,5
23,CHAM,black,15
23,CHAM,hispanic,15
23,CHAM,native_american,8
23,CHAM,other,230
23,CHAM,white,2483
23,FT O,aapi,77
23,FT O,black,175
23,FT O,hispanic,45
23,FT O,native_american,22
23,FT O,other,554
23,FT O,white,3807
23,GRAY,aapi,58
23,GRAY,black,109
23,GRAY,hispanic,61
23,GRAY,native_american,14
23,GRAY,other,616
23,GRAY,white,4265
23,LAKE,aapi,45
23,LAKE,black,120
23,LAKE,hispanic,43
23,LAKE,native_american,18
23,LAKE,other,451
23,LAKE,white,3264
23,POPS,aapi,16
23,POPS,black,55
23,POPS,hispanic,60
23,POPS,native_american,15
23,POPS,other,470
23,POPS,white,3943
23,RING,aapi,56
23,RING,black,217
23,RING,hispanic,121
23,RING,native_american,36
23,RING,other,860
23,RING,white,6910
23,WEST,aapi,68
23,WEST,black,239
23,WEST,hispanic,138
23,WEST,native_american,30
23,WEST,other,920
23,WEST,white,5329
23,WOOD,aapi,8
23,WOOD,black,65
23,WOOD,hispanic,28
23,WOOD,native_american,13
23,WOOD,other,317
23,WOOD,white,2818
24,2,aapi,29
24,2,black,1244
24,2,hispanic,37
24,2,native_american,21
24,2,other,578
24,2,white,2494
24,3B,aapi,2
24,3B,black,6
24,3B,hispanic,5
24,3B,native_american,1
24,3B,other,105
24,3B,white,460
24,3S,aapi,1
24,3S,black,14
24,3S,hispanic,1
24,3S,native_american,3
24,3S,other,88
24,3S,white,637
24,4H,aapi,3
24,4H,black,52
24,4H,hispanic,8
24,4H,native_american,4
24,4H,other,117
24,4H,white,715
24,5R,black,2
24,5R,hispanic,1
24,5R,native_american,2
24,5R,other,20
24,5R,white,249
24,5W,black,8
24,5W,hispanic,4
24,5W,other,45
24,5W,white,287
25,1-01C,aapi,42
25,1-01C,black,121
25,1-01C,hispanic,74
25,1-01C,native_american,14
25,1-01C,other,374
25,1-01C,white,2937
25,1-05C,aapi,40
25,1-05C,black,212
