County,Precinct,Race,Party,Index,Baseline,Perdue,Ossoff
CHATTOOGA,961,0.182223,0.755875,0.560161,12.76596,86.67388,13.32612
CHATTOOGA,962,0,1.576623,0.788312,8.208955,91.00273,8.997267
CHATTOOGA,968,0.007569,2.429668,1.222404,18.75,80.0276,19.9724
CHATTOOGA,1083,1.478044,3.182717,3.069402,27.02703,69.90357,30.09643
CHATTOOGA,1216,0.037679,1.236287,0.655822,13.43284,85.91134,14.08866
CHATTOOGA,1382,0,2.501375,1.250688,4.166667,94.58265,5.417354
CHATTOOGA,1484,0.226392,2.429668,1.441226,13.46801,85.09076,14.90924
CHATTOOGA,C-968,0,3.268236,1.634118,26.42857,71.93731,28.06269
CHATTOOGA,P-870,0,2.000156,1.000078,11.05991,87.94001,12.05999
CHEROKEE,1,0.071968,3.4945,1.819218,31.51184,66.66894,33.33106
CHEROKEE,2,0,2.987178,1.493589,22.25755,76.24886,23.75114
CHEROKEE,3,0,2.275913,1.137957,13.8166,85.04544,14.95456
CHEROKEE,4,0,2.573546,1.286773,11.71591,86.99731,13.00269
CHEROKEE,5,0.142381,3.313274,1.799018,27.40325,70.79774,29.20226
CHEROKEE,6,0.899932,3.630681,2.715272,42.42879,54.85594,45.14406
CHEROKEE,7,0.269689,3.225757,1.882567,24.98491,73.13252,26.86748
CHEROKEE,8,0.08959,2.81975,1.499465,20.18438,78.31616,21.68384
CHEROKEE,9,0.023665,3.030351,1.53884,20.32132,78.13984,21.86016
CHEROKEE,10,0.36271,3.165111,1.945266,25.39022,72.66452,27.33548
CHEROKEE,11,0.845761,3.595367,2.643444,37.52759,59.82896,40.17104
CHEROKEE,12,0.669368,3.51039,2.424563,36.36364,61.2118,38.7882
CHEROKEE,13,0.134208,2.660373,1.464394,16.43696,82.09865,17.90135
CHEROKEE,14,0,1.570167,0.785084,6.25,92.96492,7.035084
CHEROKEE,15,0.451001,3.465888,2.183945,34.81701,62.99904,37.00096
CHEROKEE,16,0.483755,3.588537,2.278024,34.5723,63.14967,36.85033
CHEROKEE,18,0,2.705892,1.352946,14.99611,83.65094,16.34906
